"instrument_token","tradingsymbol","name","exchange","segment","instrument_type","lot_size","tick_size","is_active","metadata","created_at","updated_at","market_cap","sector"
"1842177","BBETF0432","EDELAMC - BBETF0432","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:43.528394+00","2026-02-05 12:46:43.528408+00","0",NULL
"1847809","SBIETFQLTY","SBIAMC - SBIETFQLTY","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:44.103182+00","2026-02-05 12:46:44.103193+00","0",NULL
"1882369","SETFNN50","SBI-ETF NIFTY NEXT 50","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:45.278436+00","2026-02-05 12:46:45.278445+00","0",NULL
"1884417","SETFNIFBK","SBI-ETF NIFTY BANK","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:45.543252+00","2026-02-05 12:46:45.543261+00","0",NULL
"1908737","MIDQ50ADD","DSPAMC - DSPQ50ETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:47.34574+00","2026-02-05 12:46:47.345748+00","0",NULL
"2006529","NETF","TATAAML - NETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:50.135212+00","2026-02-05 12:46:50.135221+00","0",NULL
"2017281","AUTOBEES","NIPPONAMC - NETFAUTO","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:51.304843+00","2026-02-05 12:46:51.304853+00","0",NULL
"2042625","MAKEINDIA","MIRAEAMC - MAMFGETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:52.472998+00","2026-02-05 12:46:52.473007+00","0",NULL
"2068481","SILVERBEES","NIPPONAMC - NETFSILVER","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:53.823696+00","2026-02-05 12:46:53.823704+00","0",NULL
"2108673","NETFSIINAV","NETFSILVER NAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:56.793203+00","2026-02-05 12:46:56.793213+00","0",NULL
